# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LYLY1_2A000038	LYLY1_2A000038	LYLY1_2A000038T1	protein_coding	0	0	0	17	0	0	0	2	0	13	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000040	LYLY1_2A000040	LYLY1_2A000040T2	protein_coding	0	1	3	20	0	0	0	1	0	19	3	0	0	0	0	0	0	0	1	0
LYLY1_2A000045	LYLY1_2A000045	LYLY1_2A000045T1	protein_coding	0	6	0	283	0	0	0	9	0	275	0	0	0	3	0	0	0	0	4	1
LYLY1_2A000049	LYLY1_2A000049	LYLY1_2A000049T2	protein_coding	0	1	2	271	6	0	0	24	0	241	2	0	0	1	0	0	0	0	0	1
LYLY1_2A000050	LYLY1_2A000050	LYLY1_2A000050T1	protein_coding	0	0	0	46	0	0	0	8	0	26	0	0	0	0	0	0	0	0	0	12
LYLY1_2A000054	LYLY1_2A000054	LYLY1_2A000054T2	protein_coding	0	0	0	12	2	0	1	1	0	5	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000055	LYLY1_2A000055	LYLY1_2A000055T1	protein_coding	0	4	0	79	0	0	0	2	0	58	0	0	0	1	0	0	0	0	3	20
LYLY1_2A000056	LYLY1_2A000056	LYLY1_2A000056T1	protein_coding	0	1	0	161	0	0	0	21	0	140	0	0	0	1	0	0	0	0	1	0
LYLY1_2A000057	LYLY1_2A000057	LYLY1_2A000057T1	protein_coding	0	0	0	10	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	5
LYLY1_2A000058	LYLY1_2A000058	LYLY1_2A000058T1	protein_coding	0	0	1	288	0	0	0	2	0	284	1	0	0	0	0	0	0	0	0	2
LYLY1_2A000060	LYLY1_2A000060	LYLY1_2A000060T1	protein_coding	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000061	LYLY1_2A000061	LYLY1_2A000061T1	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000063	LYLY1_2A000063	LYLY1_2A000063T2	protein_coding	0	0	0	25	4	0	0	6	0	8	0	0	0	0	0	0	0	0	0	7
LYLY1_2A000064	LYLY1_2A000064	LYLY1_2A000064T1	protein_coding	0	1	1	12	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	10
LYLY1_2A000065	LYLY1_2A000065	LYLY1_2A000065T1	protein_coding	0	0	0	54	0	0	0	5	0	47	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000066	LYLY1_2A000066	LYLY1_2A000066T1	protein_coding	0	0	0	22	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6
LYLY1_2A000067	LYLY1_2A000067	LYLY1_2A000067T1	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000068	LYLY1_2A000068	LYLY1_2A000068T1	protein_coding	0	2	1	12	0	0	0	12	0	0	1	0	0	0	0	0	0	0	2	0
LYLY1_2A000070	LYLY1_2A000070	LYLY1_2A000070T2	protein_coding	0	3	0	86	3	0	0	13	0	59	0	0	0	1	0	0	0	0	2	12
LYLY1_2A000071	LYLY1_2A000071	LYLY1_2A000071T1	protein_coding	0	1	0	5	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1
LYLY1_2A000074	LYLY1_2A000074	LYLY1_2A000074T2	protein_coding	0	1	0	58	7	0	0	13	0	36	0	0	0	0	0	0	0	0	1	2
LYLY1_2A000077	LYLY1_2A000077	LYLY1_2A000077T1	protein_coding	0	0	0	42	6	0	0	2	0	30	0	0	0	0	0	0	0	0	0	4
LYLY1_2A000078	LYLY1_2A000078	LYLY1_2A000078T1	protein_coding	0	1	2	11	3	0	1	4	0	3	2	0	0	0	0	0	0	0	1	0
LYLY1_2A000079	LYLY1_2A000079	LYLY1_2A000079T1	protein_coding	0	0	0	11	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000083	LYLY1_2A000083	LYLY1_2A000083T1	protein_coding	0	0	0	8	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000084	LYLY1_2A000084	LYLY1_2A000084T1	protein_coding	0	1	1	15	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	5
LYLY1_2A000085	LYLY1_2A000085	LYLY1_2A000085T1	protein_coding	0	7	1	86	4	0	1	15	0	48	1	0	0	0	0	0	0	0	7	18
LYLY1_2A000086	LYLY1_2A000086	LYLY1_2A000086T1	protein_coding	0	3	0	39	0	0	2	15	0	14	0	0	0	0	0	0	0	0	3	8
LYLY1_2A000087	LYLY1_2A000087	LYLY1_2A000087T1	protein_coding	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3
LYLY1_2A000088	LYLY1_2A000088	LYLY1_2A000088T1	protein_coding	0	1	0	40	0	0	0	18	0	15	0	0	0	0	0	0	0	0	1	7
LYLY1_2A000089	LYLY1_2A000089	LYLY1_2A000089T1	protein_coding	0	0	1	42	0	0	0	3	0	39	1	0	0	0	0	0	0	0	0	0
LYLY1_2A000090	LYLY1_2A000090	LYLY1_2A000090T1	protein_coding	0	1	0	9	0	1	3	2	0	2	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000091	LYLY1_2A000091	LYLY1_2A000091T1	protein_coding	0	0	2	9	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	4
LYLY1_2A000093	LYLY1_2A000093	LYLY1_2A000093T2	protein_coding	0	1	1	44	0	0	0	4	0	35	1	0	0	0	0	0	0	0	1	5
LYLY1_2A000094	LYLY1_2A000094	LYLY1_2A000094T1	protein_coding	0	1	0	17	0	0	0	13	0	3	0	0	0	0	0	0	0	0	1	1
LYLY1_2A000095	LYLY1_2A000095	LYLY1_2A000095T1	protein_coding	0	0	0	50	0	0	0	10	0	36	0	0	0	0	0	0	0	0	0	4
LYLY1_2A000096	LYLY1_2A000096	LYLY1_2A000096T1	protein_coding	0	2	1	299	3	0	1	6	0	282	1	0	0	0	0	0	0	0	2	7
LYLY1_2A000097	LYLY1_2A000097	LYLY1_2A000097T1	protein_coding	0	0	2	18	0	0	0	9	0	3	2	0	0	0	0	0	0	0	0	6
LYLY1_2A000098	LYLY1_2A000098	LYLY1_2A000098T1	protein_coding	0	0	0	10	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	1
LYLY1_2A000099	LYLY1_2A000099	LYLY1_2A000099T1	protein_coding	0	0	0	37	0	0	0	5	0	26	0	0	0	0	0	0	0	0	0	6
LYLY1_2A000101	LYLY1_2A000101	LYLY1_2A000101T1	protein_coding	0	0	2	26	0	0	0	13	0	8	2	0	0	0	0	0	0	0	0	5
LYLY1_2A000102	LYLY1_2A000102	LYLY1_2A000102T1	protein_coding	0	0	0	26	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	17
LYLY1_2A000103	LYLY1_2A000103	LYLY1_2A000103T1	protein_coding	0	1	0	65	0	0	0	3	0	46	0	0	0	0	0	0	0	0	1	16
LYLY1_2A000104	LYLY1_2A000104	LYLY1_2A000104T1	protein_coding	0	0	1	20	0	0	0	4	0	16	1	0	0	1	0	0	0	0	0	0
LYLY1_2A000105	LYLY1_2A000105	LYLY1_2A000105T1	protein_coding	0	2	3	27	0	0	0	9	0	5	3	0	0	0	0	0	0	0	2	13
LYLY1_2A000106	LYLY1_2A000106	LYLY1_2A000106T1	protein_coding	0	0	1	6	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4
LYLY1_2A000107	LYLY1_2A000107	LYLY1_2A000107T1	protein_coding	0	0	0	20	1	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0
LYLY1_2A000108	LYLY1_2A000108	LYLY1_2A000108T1	protein_coding	0	1	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	2
LYLY1_2A000111	LYLY1_2A000111	LYLY1_2A000111T1	protein_coding	0	0	0	32	0	0	0	8	0	22	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000112	LYLY1_2A000112	LYLY1_2A000112T1	protein_coding	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000115	LYLY1_2A000115	LYLY1_2A000115T1	protein_coding	1	1	1	17	1	0	0	2	0	14	1	1	0	0	0	0	0	0	1	1
LYLY1_2A000116	LYLY1_2A000116	LYLY1_2A000116T1	protein_coding	0	5	5	323	0	0	0	18	0	300	5	0	0	1	0	0	0	0	4	6
LYLY1_2A000117	LYLY1_2A000117	LYLY1_2A000117T1	protein_coding	0	2	0	584	0	0	0	5	0	569	0	0	0	2	0	0	0	0	0	12
LYLY1_2A000118	LYLY1_2A000118	LYLY1_2A000118T1	protein_coding	0	0	0	147	0	0	1	4	0	139	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000122	LYLY1_2A000122	LYLY1_2A000122T2	protein_coding	0	1	2	28	0	1	2	6	0	16	2	0	0	0	0	0	0	0	0	4
LYLY1_2A000123	LYLY1_2A000123	LYLY1_2A000123T1	protein_coding	0	0	2	4	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2
LYLY1_2A000124	LYLY1_2A000124	LYLY1_2A000124T1	protein_coding	0	1	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	4
LYLY1_2A000125	LYLY1_2A000125	LYLY1_2A000125T1	protein_coding	0	2	1	46	3	0	0	7	0	33	1	0	0	0	0	0	0	0	2	3
LYLY1_2A000126	LYLY1_2A000126	LYLY1_2A000126T1	protein_coding	0	0	0	20	0	0	0	5	0	14	0	0	0	0	0	0	0	0	0	1
LYLY1_2A000128	LYLY1_2A000128	LYLY1_2A000128T1	protein_coding	0	0	0	57	0	0	0	8	0	40	0	0	0	0	0	0	0	0	0	9
LYLY1_2A000135	LYLY1_2A000135	LYLY1_2A000135T7	protein_coding	0	1	3	141	0	0	0	7	0	121	3	0	0	0	0	0	0	0	1	13
LYLY1_2A000136	LYLY1_2A000136	LYLY1_2A000136T1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
LYLY1_2A000140	LYLY1_2A000140	LYLY1_2A000140T4	protein_coding	0	0	1	27	0	0	0	3	0	16	1	0	0	0	0	0	0	0	0	8
LYLY1_2A000141	LYLY1_2A000141	LYLY1_2A000141T1	protein_coding	0	0	0	7	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1
LYLY1_2A000142	LYLY1_2A000142	LYLY1_2A000142T1	protein_coding	0	2	1	14	1	0	0	7	0	2	1	0	0	0	0	0	0	0	2	4
LYLY1_2A000143	LYLY1_2A000143	LYLY1_2A000143T1	protein_coding	0	2	2	25	0	0	0	1	0	23	2	0	0	1	0	0	0	0	1	2
LYLY1_2A000147	LYLY1_2A000147	LYLY1_2A000147T3	protein_coding	0	0	0	19	0	0	0	3	0	11	0	0	0	0	0	0	0	0	0	5
LYLY1_2A000150	LYLY1_2A000150	LYLY1_2A000150T3	protein_coding	0	2	1	44	1	0	0	3	0	30	1	0	0	0	0	0	0	0	2	10
LYLY1_2A000151	LYLY1_2A000151	LYLY1_2A000151T1	protein_coding	0	1	1	13	0	0	0	3	0	3	1	0	0	0	0	0	0	0	1	7
LYLY1_2A000152	LYLY1_2A000152	LYLY1_2A000152T1	protein_coding	0	2	2	11	0	0	0	2	0	2	2	0	0	0	0	0	0	0	2	7
LYLY1_2A000157	LYLY1_2A000157	LYLY1_2A000157T1	protein_coding	0	0	0	55	2	0	0	3	0	43	0	0	0	0	0	0	0	0	0	7
LYLY1_2A000159	LYLY1_2A000159	LYLY1_2A000159T1	protein_coding	0	2	3	40	5	0	0	4	0	28	3	0	0	0	0	0	0	0	2	3
LYLY1_2A000160	LYLY1_2A000160	LYLY1_2A000160T1	protein_coding	0	0	0	56	0	0	0	14	0	40	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000161	LYLY1_2A000161	LYLY1_2A000161T1	protein_coding	0	3	2	24	0	0	0	10	0	8	2	0	0	0	0	0	0	0	3	6
LYLY1_2A000162	LYLY1_2A000162	LYLY1_2A000162T1	protein_coding	0	0	0	7	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1
LYLY1_2A000164	LYLY1_2A000164	LYLY1_2A000164T1	protein_coding	0	2	2	12	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2	8
LYLY1_2A000165	LYLY1_2A000165	LYLY1_2A000165T1	protein_coding	0	1	2	44	0	0	0	20	0	14	2	0	0	0	0	0	0	0	1	10
LYLY1_2A000166	LYLY1_2A000166	LYLY1_2A000166T1	protein_coding	0	4	0	69	0	0	0	1	0	64	0	0	0	0	0	0	0	0	4	4
LYLY1_2A000167	LYLY1_2A000167	LYLY1_2A000167T1	protein_coding	0	0	1	65	0	0	0	2	0	57	1	0	0	0	0	0	0	0	0	6
LYLY1_2A000174	LYLY1_2A000174	LYLY1_2A000174T1	protein_coding	0	1	0	58	0	0	0	3	0	54	0	0	0	0	0	0	0	0	1	1
LYLY1_2A000175	LYLY1_2A000175	LYLY1_2A000175T1	protein_coding	0	0	1	22	9	0	0	4	0	3	1	0	0	0	0	0	0	0	0	6
LYLY1_2A000176	LYLY1_2A000176	LYLY1_2A000176T1	protein_coding	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000179	LYLY1_2A000179	LYLY1_2A000179T3	protein_coding	0	1	1	39	12	0	3	7	0	12	1	0	0	0	0	0	0	0	1	5
LYLY1_2A000180	LYLY1_2A000180	LYLY1_2A000180T1	protein_coding	0	2	2	11	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	8
LYLY1_2A000181	LYLY1_2A000181	LYLY1_2A000181T1	protein_coding	0	1	1	105	3	0	0	4	0	97	1	0	0	1	0	0	0	0	0	2
LYLY1_2A000183	LYLY1_2A000183	LYLY1_2A000183T2	protein_coding	0	1	2	201	0	0	0	1	0	199	2	0	0	0	0	0	0	0	1	1
LYLY1_2A000187	LYLY1_2A000187	LYLY1_2A000187T4	protein_coding	0	3	1	193	0	0	0	1	0	190	1	0	0	0	0	0	0	0	3	2
LYLY1_2A000188	LYLY1_2A000188	LYLY1_2A000188T1	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000189	LYLY1_2A000189	LYLY1_2A000189T1	protein_coding	0	0	0	25	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	14
LYLY1_2A000190	LYLY1_2A000190	LYLY1_2A000190T1	protein_coding	0	0	2	17	0	0	2	4	0	11	2	0	0	0	0	0	0	0	0	0
LYLY1_2A000191	LYLY1_2A000191	LYLY1_2A000191T1	protein_coding	0	0	0	25	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	14
LYLY1_2A000193	LYLY1_2A000193	LYLY1_2A000193T1	protein_coding	0	0	0	10	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000195	LYLY1_2A000195	LYLY1_2A000195T2	protein_coding	0	1	2	90	15	0	1	22	0	49	2	0	0	0	0	0	0	0	1	3
LYLY1_2A000196	LYLY1_2A000196	LYLY1_2A000196T1	protein_coding	0	1	0	98	1	0	0	0	0	83	0	0	0	1	0	0	0	0	0	15
LYLY1_2A000197	LYLY1_2A000197	LYLY1_2A000197T1	protein_coding	0	0	2	10	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	5
LYLY1_2A000198	LYLY1_2A000198	LYLY1_2A000198T1	protein_coding	0	0	0	26	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	13
LYLY1_2A000199	LYLY1_2A000199	LYLY1_2A000199T1	protein_coding	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7
LYLY1_2A000201	LYLY1_2A000201	LYLY1_2A000201T1	protein_coding	0	0	2	11	0	0	0	7	0	3	2	0	0	0	0	0	0	0	0	1
LYLY1_2A000203	LYLY1_2A000203	LYLY1_2A000203T2	protein_coding	0	0	0	35	3	0	0	12	0	11	0	0	0	0	0	0	0	0	0	9
LYLY1_2A000205	LYLY1_2A000205	LYLY1_2A000205T2	protein_coding	0	1	0	25	0	0	0	7	0	8	0	0	0	0	0	0	0	0	1	10
LYLY1_2A000206	LYLY1_2A000206	LYLY1_2A000206T1	protein_coding	0	0	0	16	0	0	2	5	0	6	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000207	LYLY1_2A000207	LYLY1_2A000207T1	protein_coding	0	0	1	16	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	2
LYLY1_2A000208	LYLY1_2A000208	LYLY1_2A000208T1	protein_coding	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
LYLY1_2A000216	LYLY1_2A000216	LYLY1_2A000216T1	protein_coding	0	0	1	69	0	0	0	4	0	61	1	0	0	0	0	0	0	0	0	4
LYLY1_2A000217	LYLY1_2A000217	LYLY1_2A000217T1	protein_coding	0	0	0	5	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
LYLY1_2A000222	LYLY1_2A000222	LYLY1_2A000222T2	protein_coding	0	1	2	28	0	0	0	4	0	22	2	0	0	0	0	0	0	0	1	2
LYLY1_2A000225	LYLY1_2A000225	LYLY1_2A000225T1	protein_coding	0	0	0	13	2	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0
LYLY1_2A000228	LYLY1_2A000228	LYLY1_2A000228T1	protein_coding	0	0	1	53	8	0	1	5	0	33	1	0	0	0	0	0	0	0	0	6
LYLY1_2A000229	LYLY1_2A000229	LYLY1_2A000229T1	protein_coding	0	1	0	29	11	0	0	4	0	8	0	0	0	1	0	0	0	0	1	6
LYLY1_2A000230	LYLY1_2A000230	LYLY1_2A000230T1	protein_coding	0	0	2	23	0	0	0	1	0	9	2	0	0	0	0	0	0	0	0	13
LYLY1_2A000231	LYLY1_2A000231	LYLY1_2A000231T1	protein_coding	0	0	0	22	0	0	0	1	0	16	0	0	0	0	0	0	0	0	0	5
LYLY1_2A000232	LYLY1_2A000232	LYLY1_2A000232T1	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000233	LYLY1_2A000233	LYLY1_2A000233T1	protein_coding	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000236	LYLY1_2A000236	LYLY1_2A000236T3	protein_coding	0	0	0	22	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000237	LYLY1_2A000237	LYLY1_2A000237T1	protein_coding	0	0	0	10	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000248	LYLY1_2A000248	LYLY1_2A000248T2	protein_coding	0	0	0	65	2	0	0	2	0	57	0	0	0	0	0	0	0	0	0	4
LYLY1_2A000250	LYLY1_2A000250	LYLY1_2A000250T2	protein_coding	0	4	0	29	0	0	0	3	0	20	0	0	0	1	0	0	0	0	4	6
LYLY1_2A000251	LYLY1_2A000251	LYLY1_2A000251T1	protein_coding	0	0	0	24	0	0	0	8	0	13	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000252	LYLY1_2A000252	LYLY1_2A000252T1	protein_coding	0	3	1	127	0	0	0	5	0	100	1	0	0	1	0	0	0	0	2	23
LYLY1_2A000254	LYLY1_2A000254	LYLY1_2A000254T1	protein_coding	0	0	1	20	0	0	0	7	0	11	1	0	0	0	0	0	0	0	0	2
LYLY1_2A000255	LYLY1_2A000255	LYLY1_2A000255T1	protein_coding	0	1	0	47	3	0	0	16	0	15	0	0	0	0	0	0	0	0	1	13
LYLY1_2A000256	LYLY1_2A000256	LYLY1_2A000256T1	protein_coding	0	5	0	213	0	0	0	2	0	211	0	0	0	2	0	0	0	0	3	2
LYLY1_2A000257	LYLY1_2A000257	LYLY1_2A000257T1	protein_coding	0	0	1	151	1	0	0	2	0	144	1	0	0	0	0	0	0	0	0	4
LYLY1_2A000260	LYLY1_2A000260	LYLY1_2A000260T1	protein_coding	0	0	1	22	7	0	0	10	0	1	1	0	0	0	0	0	0	0	0	4
LYLY1_2A000261	LYLY1_2A000261	LYLY1_2A000261T1	protein_coding	0	0	0	80	3	0	0	4	0	71	0	0	0	0	0	0	0	0	0	2
LYLY1_2A000263	LYLY1_2A000263	LYLY1_2A000263T2	protein_coding	0	1	0	21	0	0	0	3	0	16	0	0	0	1	0	0	0	0	0	3
LYLY1_2A000267	LYLY1_2A000267	LYLY1_2A000267T4	protein_coding	0	1	0	89	0	0	0	7	0	78	0	0	0	0	0	0	0	0	1	4
LYLY1_2A000271	LYLY1_2A000271	LYLY1_2A000271T2	protein_coding	0	7	3	181	2	0	1	14	0	153	3	0	0	1	0	0	0	0	6	12
LYLY1_2A000274	LYLY1_2A000274	LYLY1_2A000274T2	protein_coding	1	1	5	95	0	0	0	22	0	69	5	0	0	0	0	1	0	0	1	4
LYLY1_2A000277	LYLY1_2A000277	LYLY1_2A000277T1	protein_coding	0	1	0	262	0	0	0	2	0	253	0	0	0	0	0	0	0	0	1	7
LYLY1_2A000278	LYLY1_2A000278	LYLY1_2A000278T1	protein_coding	0	0	1	8	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	5
LYLY1_2A000279	LYLY1_2A000279	LYLY1_2A000279T1	protein_coding	0	0	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5
LYLY1_2A000280	LYLY1_2A000280	LYLY1_2A000280T1	protein_coding	0	0	0	19	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	7
LYLY1_2A000281	LYLY1_2A000281	LYLY1_2A000281T1	protein_coding	0	0	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3
LYLY1_2A000282	LYLY1_2A000282	LYLY1_2A000282T1	protein_coding	0	0	0	18	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11
LYLY1_2A000284	LYLY1_2A000284	LYLY1_2A000284T1	protein_coding	0	0	0	39	0	0	0	1	0	29	0	0	0	0	0	0	0	0	0	9
LYLY1_2A000286	LYLY1_2A000286	LYLY1_2A000286T2	protein_coding	0	0	1	42	2	0	0	4	0	35	1	0	0	0	0	0	0	0	0	1
LYLY1_2A000287	LYLY1_2A000287	LYLY1_2A000287T1	protein_coding	0	1	0	32	8	0	0	15	0	1	0	0	0	0	0	0	0	0	1	8
LYLY1_2A000289	LYLY1_2A000289	LYLY1_2A000289T1	protein_coding	0	22	10	488	1	0	0	17	0	456	10	0	0	5	0	0	0	0	20	16
LYLY1_2A000290	LYLY1_2A000290	LYLY1_2A000290T1	protein_coding	0	1	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1
LYLY1_2A000293	LYLY1_2A000293	LYLY1_2A000293T3	protein_coding	0	0	3	181	2	0	0	5	0	170	3	0	0	0	0	0	0	0	0	4
LYLY1_2A000294	LYLY1_2A000294	LYLY1_2A000294T1	protein_coding	0	4	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6
LYLY1_2A000295	LYLY1_2A000295	LYLY1_2A000295T1	protein_coding	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12
LYLY1_2A000297	LYLY1_2A000297	LYLY1_2A000297T2	protein_coding	0	5	1	710	0	0	0	4	0	699	1	0	0	2	0	0	0	0	3	9
LYLY1_2A000298	LYLY1_2A000298	LYLY1_2A000298T1	protein_coding	0	4	2	633	0	0	0	3	0	616	2	0	0	2	0	0	0	0	2	16
LYLY1_2A000302	LYLY1_2A000302	LYLY1_2A000302T3	protein_coding	0	0	1	21	0	0	2	2	0	14	1	0	0	0	0	0	0	0	0	3
LYLY1_2A000303	LYLY1_2A000303	LYLY1_2A000303T1	protein_coding	0	0	0	28	1	0	1	8	0	13	0	0	0	0	0	0	0	0	0	5
LYLY1_2A000305	LYLY1_2A000305	LYLY1_2A000305T2	protein_coding	0	0	0	48	6	0	0	6	0	18	0	0	0	0	0	0	0	0	0	18
